Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
primo,first,adjective,/ˈprimo/,N/A,Describes the one that comes before all others in order,N/A,Gennaio è il primo mese dell'anno e fa molto freddo fuori.,January is the first month of the year and it is very cold outside.,Common Words,Italian::A1::Vocab::Common Words,536995933597,614345057393
problema,problem,noun,/proˈblɛma/,masculine,A difficulty that needs to be solved,N/A,Ho un problema con il computer e ho bisogno di aiuto adesso.,I have a problem with the computer and I need help now.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,724456463101
programma,program; plan,noun,/proˈɡramma/,masculine,A planned series of events or a TV/radio show,N/A,Qual è il programma per domani? Voglio visitare il museo in città.,What is the plan for tomorrow? I want to visit the museum in the city.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,11910983122
pronto,ready; hello (phone),adjective,/ˈpronto/,N/A,Describes being prepared; also the greeting when answering the phone,preparato,Pronto! Chi parla? Sono Marco e voglio parlare con te.,Hello! Who is speaking? I am Marco and I want to talk with you.,Common Words,Italian::A1::Vocab::Common Words,536995933597,932131269191
prossimo,next,adjective,/ˈprɔssimo/,N/A,Describes the one that comes immediately after in time or order,seguente; successivo,La prossima lezione è mercoledì e devo studiare molto per l'esame.,The next lesson is on Wednesday and I must study a lot for the exam.,Common Words,Italian::A1::Vocab::Common Words,536995933597,295204673
pulito,clean,adjective,/puˈlito/,N/A,Describes something free of dirt; opposite of 'sporco',N/A,La cucina è pulita perché la mamma la lava ogni giorno bene.,The kitchen is clean because mom washes it every day well.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,565991207403
qui,here,adverb,/ˈkwi/,N/A,Indicates the place where the speaker is,qua,Vieni qui per favore! Voglio mostrare una cosa bella a te.,Come here please! I want to show you a beautiful thing.,Common Words,Italian::A1::Vocab::Common Words,536995933597,718729424968
qualche,some; a few,adjective,/ˈkwalke/,N/A,Indicates a small unspecified number of something,alcuni,Ho qualche amico italiano e parliamo insieme ogni settimana al bar.,I have a few Italian friends and we speak together every week at the bar.,Common Words,Italian::A1::Vocab::Common Words,536995933597,113378991492
qualche volta,sometimes,adverb,/ˈkwalke ˈvɔlta/,N/A,Indicates something that happens occasionally,a volte; talvolta,Qualche volta vado al cinema e qualche volta leggo un libro.,Sometimes I go to the cinema and sometimes I read a book.,Common Words,Italian::A1::Vocab::Common Words,536995933597,413225983214
qualcosa,something,pronoun,/kwalˈkɔza/,N/A,Refers to an unspecified thing,N/A,Vuoi mangiare qualcosa? Ho fame e cerco un bar aperto qui.,Do you want to eat something? I am hungry and look for an open bar here.,Common Words,Italian::A1::Vocab::Common Words,536995933597,350728158839
qualcuno,someone; somebody,pronoun,/kwalˈkuno/,N/A,Refers to an unspecified person,N/A,Qualcuno chiama al telefono ma non so chi è la persona.,Someone calls on the phone but I do not know who the person is.,Common Words,Italian::A1::Vocab::Common Words,536995933597,394204741263
quale,which; what,pronoun,/ˈkwale/,N/A,Used to ask about a specific choice from a group,N/A,Quale libro vuoi leggere stasera? Questo o quello sul tavolo?,Which book do you want to read tonight? This one or that one on the table?,Common Words,Italian::A1::Vocab::Common Words,536995933597,231868602174
quando,when,adverb,/ˈkwando/,N/A,Used to ask about or refer to a point in time,N/A,Quando arrivi a casa? Vengo alle sette di sera dopo il lavoro.,When do you arrive home? I come at seven in the evening after work.,Common Words,Italian::A1::Vocab::Common Words,536995933597,404644352420
quanto,how much; how many,adverb,/ˈkwanto/,N/A,Used to ask about amount or quantity,N/A,Quanto costa questo libro? Costa dieci dollari al negozio in centro.,How much does this book cost? It costs ten dollars at the shop downtown.,Common Words,Italian::A1::Vocab::Common Words,536995933597,181332955310
quattordici,fourteen,numeral,/kwatˈtorditʃi/,N/A,The number fourteen,N/A,Ci sono quattordici studenti nella classe di italiano questo mese.,There are fourteen students in the Italian class this month.,Numbers,Italian::A1::Vocab::Numbers,381389947441,570818257444
quattro,four,numeral,/ˈkwattro/,N/A,The number four,N/A,Ho quattro libri sul tavolo e devo leggere ciascuno per la classe.,I have four books on the table and I must read each one for class.,Numbers,Italian::A1::Vocab::Numbers,381389947441,765484288631
quello,that,pronoun,/ˈkwello/,N/A,Used to indicate something farther from the speaker,N/A,Quello è il mio amico Marco e vive nella casa grande lì.,That is my friend Marco and he lives in the big house there.,Common Words,Italian::A1::Vocab::Common Words,536995933597,537884205173
questo,this,pronoun,/ˈkwesto/,N/A,Used to indicate something close to the speaker,N/A,Questo caffè è molto buono e lo bevo qui al bar ogni mattina.,This coffee is very good and I drink it here at the bar every morning.,Common Words,Italian::A1::Vocab::Common Words,536995933597,946547548865
quindici,fifteen,numeral,/ˈkwinditʃi/,N/A,The number fifteen,N/A,La lezione dura quindici minuti e poi abbiamo una pausa al bar.,The lesson lasts fifteen minutes and then we have a break at the bar.,Numbers,Italian::A1::Vocab::Numbers,381389947441,200934334427
radio,radio,noun,/ˈradjo/,feminine,A device for listening to broadcasts; also the medium itself,N/A,Ascolto la musica alla radio in auto quando guido al lavoro.,I listen to music on the radio in the car when I drive to work.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,420988497821
ragazza,girl; girlfriend,noun,/raˈɡattsa/,feminine,A young woman; also means girlfriend,N/A,La ragazza è giovane e studia all'università nella grande città.,The girl is young and studies at the university in the big city.,People,Italian::A1::Vocab::People,1054905778847,531881675909
ragazzo,boy; boyfriend,noun,/raˈɡattso/,masculine,A young man; also means boyfriend,N/A,Il ragazzo gioca a basket nel parco con gli amici ogni sabato.,The boy plays basketball in the park with friends every Saturday.,People,Italian::A1::Vocab::People,1054905778847,748613859556
regalo,gift; present,noun,/reˈɡalo/,masculine,An object given to someone on a special occasion,dono,Compro un regalo bello per il compleanno della mia amica domani.,I buy a beautiful gift for my friend's birthday tomorrow.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,670778041461
ricco,rich; wealthy,adjective,/ˈrikko/,N/A,Describes someone with a lot of money; opposite of 'povero',N/A,L'uomo è ricco e ha una casa grande e un'auto bella in città.,The man is rich and has a big house and a nice car in the city.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,334828799644
risposta,answer; reply,noun,/risˈposta/,feminine,A reaction to a question or request,N/A,La risposta dello studente è corretta e l'insegnante dice bravo.,The student's answer is correct and the teacher says well done.,Education,Italian::A1::Vocab::Education,307004269861,1084266472055
ristorante,restaurant,noun,/ristoˈrante/,masculine,A place where meals are prepared and served to customers,N/A,Il ristorante è famoso per la pasta e la pizza buona.,The restaurant is famous for the pasta and the good pizza.,Places,Italian::A1::Vocab::Places,439811229925,744094592060
rosso,red,adjective,/ˈrosso/,N/A,"The color of blood, tomatoes, and fire",N/A,La mela rossa è dolce e la mangio con la colazione ogni mattina.,The red apple is sweet and I eat it with breakfast every morning.,Colors,Italian::A1::Vocab::Colors,673869190564,204211086925
rumore,noise,noun,/ruˈmore/,masculine,An unwanted or loud sound,N/A,C'è molto rumore nella strada e non posso dormire bene la notte.,There is a lot of noise in the street and I cannot sleep well at night.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,402240398290
sabato,Saturday,noun,/ˈsabato/,masculine,The sixth day of the week; part of the weekend,N/A,Il sabato vado al parco con la famiglia e il cane a camminare.,On Saturday I go to the park with the family and the dog to walk.,Time,Italian::A1::Vocab::Time,781073502550,529730398475
sale,salt,noun,/ˈsale/,masculine,A white mineral used to add flavor to food,N/A,Metto un po' di sale sulla carne e sulle patate per la cena.,I put a bit of salt on the meat and on the potatoes for dinner.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,645982050442
salotto,living room,noun,/saˈlɔtto/,masculine,The main room in a house for relaxing and socializing,soggiorno,La famiglia guarda la televisione nel salotto di casa ogni sera.,The family watches television in the living room at home every evening.,Home,Italian::A1::Vocab::Home,692027528045,615480233459
sbagliato,wrong; mistaken,adjective,/zbaʎˈʎato/,N/A,Describes something that is incorrect; opposite of 'corretto',errato; scorretto,La risposta è sbagliata e lo studente deve studiare di più domani.,The answer is wrong and the student must study more tomorrow.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,680944579744
scarpa,shoe,noun,/ˈskarpa/,feminine,A covering for the foot worn for walking,N/A,Compro un paio di scarpe nuove nere per andare alla festa.,I buy a pair of new black shoes to go to the party.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,988398077134
scatola,box,noun,/ˈskatola/,feminine,"A container with flat sides, usually made of cardboard",N/A,Metto i libri nella scatola grande e la porto nella camera nuova.,I put the books in the big box and bring it to the new room.,Home,Italian::A1::Vocab::Home,692027528045,716608070057
schiena,back (body),noun,/ˈskjɛna/,feminine,The rear surface of the human body from neck to waist,dorso,Mi fa male la schiena perché lavoro troppo al computer ogni giorno.,My back hurts because I work too much at the computer every day.,Body,Italian::A1::Vocab::Body,315135916940,1033773994649
scrittura,writing,noun,/skritˈtura/,feminine,The activity or skill of writing text,N/A,La scrittura in italiano è facile ma la lettura è più difficile.,Writing in Italian is easy but reading is more difficult.,Education,Italian::A1::Vocab::Education,307004269861,113085934352
scrivania,desk,noun,/skrivaˈnia/,feminine,A table used for writing and working,N/A,Studio alla scrivania nella camera da letto con il computer e i libri.,I study at the desk in the bedroom with the computer and books.,Home,Italian::A1::Vocab::Home,692027528045,337033093824
scuola,school,noun,/ˈskwɔla/,feminine,A place where children and young people are educated,N/A,I bambini vanno a scuola ogni mattina e imparano molte cose nuove.,The children go to school every morning and learn many new things.,Education,Italian::A1::Vocab::Education,307004269861,833447895075
secondo,second (time),noun,/seˈkondo/,masculine,A unit of time; one sixtieth of a minute,N/A,Aspetta un secondo per favore e poi andiamo insieme al negozio.,Wait a second please and then we go together to the shop.,Time,Italian::A1::Vocab::Time,781073502550,63197111999
secondo,second (order),adjective,/seˈkondo/,N/A,Coming after the first in order or position,N/A,Il secondo piano dell'albergo ha le camere più grandi e belle.,The second floor of the hotel has the biggest and most beautiful rooms.,Common Words,Italian::A1::Vocab::Common Words,536995933597,63197111999
sedia,chair,noun,/ˈsɛdja/,feminine,A piece of furniture for sitting on,N/A,Mi siedo sulla sedia vicino al tavolo nella cucina di casa.,I sit on the chair near the table in the kitchen at home.,Home,Italian::A1::Vocab::Home,692027528045,360455766559
sedici,sixteen,numeral,/ˈseditʃi/,N/A,The number sixteen,N/A,Ho sedici libri nella borsa e sono molto pesanti per camminare.,I have sixteen books in the bag and they are very heavy for walking.,Numbers,Italian::A1::Vocab::Numbers,381389947441,72458402086
sei,six,numeral,/ˈsɛi/,N/A,The number six,N/A,Ci sono sei persone nella famiglia: i genitori e quattro figli.,There are six people in the family: the parents and four children.,Numbers,Italian::A1::Vocab::Numbers,381389947441,334281505924
semplice,simple,adjective,/ˈsemplitʃe/,N/A,Describes something easy to understand or not complex,facile,La frase in italiano è semplice e lo studente la capisce bene.,The sentence in Italian is simple and the student understands it well.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1074324900868
sempre,always,adverb,/ˈsɛmpre/,N/A,At all times; on every occasion,N/A,Bevo sempre un caffè al bar la mattina prima di andare al lavoro.,I always drink a coffee at the bar in the morning before going to work.,Common Words,Italian::A1::Vocab::Common Words,536995933597,288447534936
sera,evening,noun,/ˈsera/,feminine,The period of the day between afternoon and night,N/A,La sera mangio la cena con la famiglia e guardo la televisione.,In the evening I eat dinner with the family and watch television.,Time,Italian::A1::Vocab::Time,781073502550,742530228652
sete,thirst,noun,/ˈsete/,feminine,The feeling of needing to drink; used in 'ho sete',N/A,Ho molta sete e voglio bere un bicchiere di acqua fredda adesso.,I am very thirsty and I want to drink a glass of cold water now.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,18499407104
sette,seven,numeral,/ˈsɛtte/,N/A,The number seven,N/A,Mi sveglio alle sette ogni mattina e faccio la doccia nel bagno.,I wake up at seven every morning and take a shower in the bathroom.,Numbers,Italian::A1::Vocab::Numbers,381389947441,311725568324
settembre,September,noun,/setˈtɛmbre/,masculine,The ninth month of the year; autumn begins,N/A,In settembre comincia la scuola e i bambini studiano le cose nuove.,In September school begins and the children study new things.,Time,Italian::A1::Vocab::Time,781073502550,523486382253
settimana,week,noun,/settiˈmana/,feminine,A period of seven days,N/A,Questa settimana lavoro ogni giorno e il sabato vado al mare.,This week I work every day and on Saturday I go to the sea.,Time,Italian::A1::Vocab::Time,781073502550,886857407109
sicuro,sure; safe,adjective,/siˈkuro/,N/A,Describes something certain or free from danger,certo,Sono sicuro che domani il tempo è bello e possiamo uscire insieme.,I am sure that tomorrow the weather is nice and we can go out together.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,510375088430
signora,Mrs.; lady; ma'am,noun,/siɲˈɲora/,feminine,A polite way to address an adult woman,donna,La signora è gentile e insegna l'italiano nella scuola in centro.,The lady is kind and teaches Italian at the school downtown.,People,Italian::A1::Vocab::People,1054905778847,968329956249
signore,Mr.; sir; gentleman,noun,/siɲˈɲore/,masculine,A polite way to address an adult man,uomo,Il signore entra nel negozio e compra un regalo per la moglie.,The gentleman enters the shop and buys a gift for his wife.,People,Italian::A1::Vocab::People,1054905778847,546847509147
sinistra,left (direction),noun,/siˈnistra/,feminine,The direction opposite of right,N/A,Il museo è a sinistra e la farmacia è a destra della strada.,The museum is on the left and the pharmacy is on the right of the street.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1610727154
soggetto,subject,noun,/sodˈdʒɛtto/,masculine,The topic of a conversation or the subject of a sentence,tema; argomento,Il soggetto della frase è importante per capire la lingua italiana.,The subject of the sentence is important to understand the Italian language.,Education,Italian::A1::Vocab::Education,307004269861,588879567795
soldi,money,noun,/ˈsɔldi/,masculine plural,Currency used to buy things,denaro,Non ho molti soldi e non posso comprare un regalo caro oggi.,I don't have much money and I cannot buy an expensive gift today.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,519118121527
sole,sun,noun,/ˈsole/,masculine,The star that gives light and heat to the earth,N/A,Il sole è caldo in estate e il cielo è azzurro e bello.,The sun is hot in summer and the sky is blue and beautiful.,Nature,Italian::A1::Vocab::Nature,674825577948,667869657323
solo,alone; only,adjective,/ˈsolo/,N/A,Describes being without company or indicating exclusivity,soltanto,Sono solo a casa stasera perché la famiglia è al ristorante.,I am alone at home tonight because the family is at the restaurant.,Common Words,Italian::A1::Vocab::Common Words,536995933597,216797098853
sopra,above; on top of,preposition,/ˈsopra/,N/A,Indicates a position higher than something else,su,Il cappello è sopra il tavolo vicino alla borsa e alle chiavi.,The hat is on top of the table near the bag and the keys.,Common Words,Italian::A1::Vocab::Common Words,536995933597,344578670572
sorella,sister,noun,/soˈrɛlla/,feminine,A female sibling,N/A,Mia sorella è giovane e studia l'italiano all'università con me.,My sister is young and studies Italian at the university with me.,People,Italian::A1::Vocab::People,1054905778847,552560136912
sotto,under; below,preposition,/ˈsotto/,N/A,Indicates a position lower than something else,N/A,Il gatto dorme sotto il tavolo nella cucina di casa ogni giorno.,The cat sleeps under the table in the kitchen at home every day.,Common Words,Italian::A1::Vocab::Common Words,536995933597,626186908502
spesa,grocery shopping,noun,/ˈspeza/,feminine,The act of buying food and household items,N/A,Faccio la spesa al supermercato e compro la frutta e il pane.,I do the grocery shopping at the supermarket and buy fruit and bread.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,341670039714
spesso,often,adverb,/ˈspesso/,N/A,Indicates something happening frequently,frequentemente,Vado spesso al bar per bere un caffè con il mio amico.,I often go to the bar to drink a coffee with my friend.,Common Words,Italian::A1::Vocab::Common Words,536995933597,45505227477
spiaggia,beach,noun,/ˈspjaddʒa/,feminine,A sandy area next to the sea for swimming and relaxing,N/A,In estate andiamo alla spiaggia e nuotiamo nel mare azzurro e bello.,In summer we go to the beach and swim in the beautiful blue sea.,Nature,Italian::A1::Vocab::Nature,674825577948,218907950498
sporco,dirty,adjective,/ˈspɔrko/,N/A,Describes something not clean; opposite of 'pulito',N/A,Il piatto è sporco e devo lavare tutti i piatti nella cucina.,The plate is dirty and I must wash all the plates in the kitchen.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,684623392828
sport,sport,noun,/ˈspɔrt/,masculine,Physical activities done for exercise or competition,N/A,Mi piace fare sport nel parco e giocare a calcio con gli amici.,I like to do sport in the park and play soccer with friends.,Sports,Italian::A1::Vocab::Sports,616396548408,838681966389
stanco,tired,adjective,/ˈstaŋko/,N/A,Describes a state of needing rest or sleep,affaticato,Sono molto stanco perché ho lavorato tutto il giorno in ufficio.,I am very tired because I worked all day in the office.,Emotions,Italian::A1::Vocab::Emotions,594297900417,504512624751
stanza,room,noun,/ˈstantsa/,feminine,An area within a building enclosed by walls,camera,La stanza è grande e ha una finestra che guarda sul giardino bello.,The room is big and has a window that looks onto the beautiful garden.,Home,Italian::A1::Vocab::Home,692027528045,948304414022
stasera,this evening; tonight,adverb,/staˈsera/,N/A,Refers to the evening of the current day,N/A,Stasera andiamo al cinema per vedere un film nuovo con gli amici.,Tonight we go to the cinema to see a new movie with friends.,Time,Italian::A1::Vocab::Time,781073502550,596830712940
stazione,station,noun,/statˈtsjone/,feminine,A place where trains or buses stop for passengers,N/A,Prendo il treno alla stazione e arrivo in città alle dieci.,I take the train at the station and arrive in the city at ten.,Places,Italian::A1::Vocab::Places,439811229925,845724242235
stesso,same,adjective,/ˈstesso/,N/A,Describes something identical or not different,medesimo,Io e il mio amico abitiamo nella stessa strada vicino al parco.,My friend and I live on the same street near the park.,Common Words,Italian::A1::Vocab::Common Words,536995933597,509720250997
strada,street; road,noun,/ˈstrada/,feminine,A paved path for vehicles and pedestrians,via,La strada è larga e le auto guidano piano vicino alla scuola.,The street is wide and the cars drive slowly near the school.,Places,Italian::A1::Vocab::Places,439811229925,249372487161
studente,student (m),noun,/stuˈdɛnte/,masculine,A male person who studies at school or university,alunno,Lo studente è bravo e studia ogni giorno per l'esame difficile.,The student is good and studies every day for the difficult exam.,People,Italian::A1::Vocab::People,1054905778847,682517390892
studentessa,student (f),noun,/studenˈtessa/,feminine,A female person who studies at school or university,alunna,La studentessa legge il libro in classe e risponde alle domande.,The female student reads the book in class and answers the questions.,People,Italian::A1::Vocab::People,1054905778847,279935858140
succo,juice,noun,/ˈsukko/,masculine,A drink made from pressed fruit,N/A,Bevo un succo di arancia freddo per colazione ogni mattina a casa.,I drink a cold orange juice for breakfast every morning at home.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,1098041009063
supermercato,supermarket,noun,/supermerˈkato/,masculine,A large store selling food and household products,N/A,Vado al supermercato per comprare il latte e la frutta per casa.,I go to the supermarket to buy milk and fruit for home.,Places,Italian::A1::Vocab::Places,439811229925,349979089088
tanto,so much; a lot,adverb,/ˈtanto/,N/A,Indicates a large amount or degree,molto,Grazie tanto per l'aiuto! Sei un amico davvero molto gentile.,Thank you so much for the help! You are a really very kind friend.,Common Words,Italian::A1::Vocab::Common Words,536995933597,213579310908
tardi,late,adverb,/ˈtardi/,N/A,Indicates something happening after the expected time,N/A,Arrivo tardi al lavoro perché l'autobus è molto lento oggi.,I arrive late to work because the bus is very slow today.,Time,Italian::A1::Vocab::Time,781073502550,584316256109
tavolo,table,noun,/ˈtavolo/,masculine,A piece of furniture with a flat top for eating or working,N/A,La famiglia mangia al tavolo nella cucina ogni sera insieme.,The family eats at the table in the kitchen every evening together.,Home,Italian::A1::Vocab::Home,692027528045,951849544594
taxi,taxi,noun,/ˈtaksi/,masculine,A car with a driver that you pay to take you somewhere,N/A,Prendo un taxi per andare all'aeroporto perché non ho l'auto oggi.,I take a taxi to go to the airport because I don't have the car today.,Transportation,Italian::A1::Vocab::Transportation,845656063355,380701222457
tazza,cup; mug,noun,/ˈtattsa/,feminine,A container with a handle for drinking hot beverages,N/A,Bevo il tè caldo in una tazza grande ogni sera prima di dormire.,I drink hot tea in a big cup every evening before sleeping.,Home,Italian::A1::Vocab::Home,692027528045,13067797061
tazzina,small cup; espresso cup,noun,/tatˈtsina/,feminine,A small cup typically used for espresso coffee,N/A,Bevo il caffè nella tazzina piccola al bar ogni mattina presto.,I drink coffee in the small cup at the bar every morning early.,Home,Italian::A1::Vocab::Home,692027528045,162854743064
tè,tea,noun,/ˈtɛ/,masculine,A hot drink made by putting dried leaves in hot water,N/A,Preferisco bere il tè caldo la sera e il caffè la mattina.,I prefer to drink hot tea in the evening and coffee in the morning.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,1032027217208
telefono,telephone; phone,noun,/teˈlɛfono/,masculine,A device for talking to people at a distance,cellulare,Il telefono suona e rispondo perché è la mia mamma che chiama.,The phone rings and I answer because it is my mom calling.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,1009258571041
televisione,television; TV,noun,/televizˈzjone/,feminine,An electronic device for watching programs and movies,TV; tele,La sera guardo la televisione nel salotto con tutta la famiglia.,In the evening I watch television in the living room with the whole family.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,898047797794
tempo,time; weather,noun,/ˈtɛmpo/,masculine,The passage of hours and days; also atmospheric conditions,N/A,Il tempo è bello oggi e voglio uscire a camminare nel parco.,The weather is nice today and I want to go out walking in the park.,Time,Italian::A1::Vocab::Time,781073502550,506763798116
tennis,tennis,noun,/ˈtɛnnis/,masculine,A sport played with rackets and a ball on a court,N/A,Giochiamo a tennis nel parco ogni sabato con gli amici dopo pranzo.,We play tennis in the park every Saturday with friends after lunch.,Sports,Italian::A1::Vocab::Sports,616396548408,384120555767
testa,head,noun,/ˈtesta/,feminine,The upper part of the body containing the brain and face,capo,Mi fa male la testa e non posso studiare bene al computer.,My head hurts and I cannot study well at the computer.,Body,Italian::A1::Vocab::Body,315135916940,944722118718
testo,text,noun,/ˈtesto/,masculine,A piece of written material; the words of a book or document,N/A,Lo studente legge il testo del libro e risponde alle domande dell'esame.,The student reads the text of the book and answers the exam questions.,Education,Italian::A1::Vocab::Education,307004269861,666571751924
tiepido,lukewarm,adjective,/ˈtjɛpido/,N/A,Describes a temperature between hot and cold,N/A,L'acqua è tiepida e non è né calda né fredda per bere.,The water is lukewarm and is neither hot nor cold for drinking.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,708166103951
torta,cake,noun,/ˈtorta/,feminine,A sweet baked dessert often served at celebrations,dolce,La mamma fa una torta al cioccolato per il compleanno del bambino.,Mom makes a chocolate cake for the child's birthday.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,993583822944
tre,three,numeral,/ˈtre/,N/A,The number three,N/A,Ho tre fratelli e una sorella e viviamo tutti nella stessa casa.,I have three brothers and one sister and we all live in the same house.,Numbers,Italian::A1::Vocab::Numbers,381389947441,963239399655
tredici,thirteen,numeral,/ˈtreditʃi/,N/A,The number thirteen,N/A,Ci sono tredici ragazzi e due ragazze nella classe di italiano oggi.,There are thirteen boys and two girls in the Italian class today.,Numbers,Italian::A1::Vocab::Numbers,381389947441,727555492728
treno,train,noun,/ˈtreno/,masculine,A vehicle that travels on rails carrying passengers,N/A,Prendo il treno alla stazione per viaggiare nella città ogni mattina.,I take the train at the station to travel to the city every morning.,Transportation,Italian::A1::Vocab::Transportation,845656063355,651026440241
triste,sad,adjective,/ˈtriste/,N/A,Describes a state of unhappiness; opposite of 'felice',infelice,Il bambino è triste perché non può giocare fuori con gli amici.,The child is sad because he cannot play outside with friends.,Emotions,Italian::A1::Vocab::Emotions,594297900417,816007302344
troppo,too much; too,adverb,/ˈtrɔppo/,N/A,Indicates an excessive amount or degree,N/A,Il caffè è troppo caldo e devo aspettare un minuto per bere.,The coffee is too hot and I must wait a minute to drink.,Common Words,Italian::A1::Vocab::Common Words,536995933597,753726391613
tutto,everything; all,pronoun,/ˈtutto/,N/A,Refers to the entire amount or every part,N/A,Tutto è pronto per la festa e la famiglia è molto felice.,Everything is ready for the party and the family is very happy.,Common Words,Italian::A1::Vocab::Common Words,536995933597,890520599751
uccello,bird,noun,/utˈtʃɛllo/,masculine,A feathered animal that can usually fly,N/A,L'uccello canta sull'albero nel giardino ogni mattina quando mi sveglio.,The bird sings on the tree in the garden every morning when I wake up.,Animals,Italian::A1::Vocab::Animals,209387501967,116060533373
ufficio,office,noun,/ufˈfitʃo/,masculine,A room or building where people work at desks,N/A,Lavoro in un ufficio grande in città e uso il computer ogni giorno.,I work in a big office in the city and use the computer every day.,Places,Italian::A1::Vocab::Places,439811229925,660421754711
ultimo,last; final,adjective,/ˈultimo/,N/A,Describes the one at the end; opposite of 'primo',finale,Dicembre è l'ultimo mese dell'anno e festeggiamo il Natale in famiglia.,December is the last month of the year and we celebrate Christmas with family.,Common Words,Italian::A1::Vocab::Common Words,536995933597,655557233503
undici,eleven,numeral,/ˈunditʃi/,N/A,The number eleven,N/A,La lezione comincia alle undici e finisce alle dodici ogni martedì.,The lesson starts at eleven and finishes at twelve every Tuesday.,Numbers,Italian::A1::Vocab::Numbers,381389947441,920493759274
università,university,noun,/universita/,feminine,An institution of higher education and research,N/A,Studio all'università nella grande città per imparare la lingua italiana.,I study at the university in the big city to learn the Italian language.,Education,Italian::A1::Vocab::Education,307004269861,815082184633
uno,one,numeral,/ˈuno/,N/A,The number one,N/A,Ho solo un libro di italiano e devo comprare un altro domani.,I only have one Italian book and I must buy another one tomorrow.,Numbers,Italian::A1::Vocab::Numbers,381389947441,572350690524
uomo,man,noun,/ˈwɔmo/,masculine,An adult male person,signore,L'uomo cammina nella strada con la moglie e i figli ogni sera.,The man walks on the street with his wife and children every evening.,People,Italian::A1::Vocab::People,1054905778847,552896380857
uovo,egg,noun,/ˈwɔvo/,masculine,A food produced by hens; used in cooking and for breakfast,N/A,Mangio un uovo per colazione ogni mattina con il pane e il caffè.,I eat an egg for breakfast every morning with bread and coffee.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,164870905168
vacanze,vacation; holidays,noun,/vaˈkantse/,feminine plural,A period of rest from work or school; time off,ferie,In vacanze andiamo al mare con la famiglia e nuotiamo ogni giorno.,On vacation we go to the sea with the family and swim every day.,Time,Italian::A1::Vocab::Time,781073502550,365169562527
vaso,vase; pot,noun,/ˈvazo/,masculine,A container for flowers or plants,N/A,Metto i fiori rossi nel vaso sopra il tavolo nel salotto di casa.,I put the red flowers in the vase on the table in the living room.,Home,Italian::A1::Vocab::Home,692027528045,857327142074
vecchio,old,adjective,/ˈvɛkkjo/,N/A,Describes someone or something not young or new; opposite of 'nuovo',anziano,La casa è vecchia ma è bella e ha un grande giardino verde.,The house is old but it is beautiful and has a big green garden.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,95864699762
veloce,fast; quick,adjective,/veˈlotʃe/,N/A,Describes something that moves with speed; opposite of 'lento',rapido; svelto,Il treno è molto veloce e arrivo in città in dieci minuti.,The train is very fast and I arrive in the city in ten minutes.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,703620298392
venerdì,Friday,noun,/venerˈdi/,masculine,The fifth day of the working week,N/A,Venerdì sera andiamo al ristorante per mangiare la pizza con amici.,On Friday evening we go to the restaurant to eat pizza with friends.,Time,Italian::A1::Vocab::Time,781073502550,876534568319
venti,twenty,numeral,/ˈventi/,N/A,The number twenty,N/A,Ci sono venti studenti nella classe e l'insegnante parla con ciascuno.,There are twenty students in the class and the teacher speaks with each one.,Numbers,Italian::A1::Vocab::Numbers,381389947441,932836585644
vento,wind,noun,/ˈvento/,masculine,Moving air in the atmosphere,N/A,Oggi c'è molto vento e fa freddo fuori vicino al mare.,Today there is a lot of wind and it is cold outside near the sea.,Nature,Italian::A1::Vocab::Nature,674825577948,753636824555
verde,green,adjective,/ˈverde/,N/A,"The color of grass, leaves, and many plants",N/A,L'erba nel giardino è verde e le piante crescono bene in primavera.,The grass in the garden is green and the plants grow well in spring.,Colors,Italian::A1::Vocab::Colors,673869190564,363938133199
